Fast first order indexes
                    	              LAI[1]	              LAI[2]	              LAI[3]	              LAI[4]	              LAI[5]	              LAI[6]	              LAI[7]	              LAI[8]	              LAI[9]	             LAI[10]	             LAI[11]	             LAI[12]	             LAI[13]	             LAI[14]	             LAI[15]	             LAI[16]	             LAI[17]	             LAI[18]	             LAI[19]	             LAI[20]	             LAI[21]	             LAI[22]	             LAI[23]	             LAI[24]	             LAI[25]	             LAI[26]	             LAI[27]	             LAI[28]	             LAI[29]	             LAI[30]	             LAI[31]	             LAI[32]	             LAI[33]	             LAI[34]	             LAI[35]	             LAI[36]	             LAI[37]	             LAI[38]	             LAI[39]	             LAI[40]	             LAI[41]	             LAI[42]	             LAI[43]	             LAI[44]	             LAI[45]	             LAI[46]	             LAI[47]	             LAI[48]	             LAI[49]	             LAI[50]	             LAI[51]	             LAI[52]	             LAI[53]	             LAI[54]	             LAI[55]	             LAI[56]	             LAI[57]	             LAI[58]	             LAI[59]	             LAI[60]	             LAI[61]	             LAI[62]	             LAI[63]	             LAI[64]	             LAI[65]	             LAI[66]	             LAI[67]	             LAI[68]	             LAI[69]	             LAI[70]	             LAI[71]	             LAI[72]	             LAI[73]	             LAI[74]	             LAI[75]	             LAI[76]	             LAI[77]	             LAI[78]	             LAI[79]	             LAI[80]	             LAI[81]	             LAI[82]	             LAI[83]	             LAI[84]	             LAI[85]	             LAI[86]	             LAI[87]	             LAI[88]	             LAI[89]	             LAI[90]	             LAI[91]	             LAI[92]	             LAI[93]	             LAI[94]	             LAI[95]	             LAI[96]	             LAI[97]	             LAI[98]	             LAI[99]	            LAI[100]	            LAI[101]	            LAI[102]	            LAI[103]	            LAI[104]	            LAI[105]	            LAI[106]	            LAI[107]	            LAI[108]	            LAI[109]	            LAI[110]	            LAI[111]	            LAI[112]	            LAI[113]	            LAI[114]	            LAI[115]	            LAI[116]	            LAI[117]	            LAI[118]	            LAI[119]	            LAI[120]	            LAI[121]	            LAI[122]	            LAI[123]	            LAI[124]	            LAI[125]	            LAI[126]	            LAI[127]	            LAI[128]	            LAI[129]	            LAI[130]	
                 RMS	            0.009779	            0.022251	            0.036999	            0.047974	            0.042935	            0.046453	            0.074714	            0.119076	            0.105495	            0.089718	            0.140947	            0.191307	            0.160780	            0.094740	            0.048212	            0.071942	            0.073226	            0.051633	            0.042317	            0.048083	            0.057656	            0.058067	            0.061576	            0.055819	            0.056328	            0.056360	            0.042591	            0.029149	            0.031071	            0.037207	            0.036719	            0.042100	            0.038436	            0.029257	            0.027660	            0.025939	            0.020571	            0.016117	            0.016678	            0.017052	            0.016363	            0.015597	            0.015378	            0.015716	            0.017774	            0.021431	            0.025746	            0.030791	            0.026720	            0.025726	            0.022748	            0.020166	            0.023817	            0.022474	            0.020372	            0.023509	            0.021976	            0.017319	            0.016489	            0.016913	            0.016671	            0.015647	            0.016106	            0.017033	            0.016923	            0.015915	            0.016541	            0.018186	            0.018688	            0.019827	            0.021358	            0.023475	            0.024896	            0.025780	            0.027046	            0.027977	            0.028367	            0.028792	            0.030079	            0.031507	            0.032276	            0.033203	            0.034778	            0.036841	            0.037692	            0.038745	            0.039615	            0.041267	            0.042433	            0.044178	            0.047141	            0.050931	            0.053846	            0.057438	            0.062957	            0.068305	            0.073458	            0.079474	            0.084188	            0.098629	            0.108015	            0.103844	            0.111050	            0.108631	            0.100036	            0.100036	            0.091397	            0.102339	            0.095876	            0.095876	            0.095876	            0.095876	            0.095876	            0.095876	            0.095876	            0.095876	            0.095876	            0.095876	            0.095876	            0.095876	            0.095876	            0.095876	            0.095876	            0.095876	            0.095876	            0.095876	            0.095876	            0.095876	            0.095876	            0.095876	
               FRTB1	            0.011184	            0.015526	            0.021281	            0.022346	            0.015448	            0.013016	            0.019258	            0.022239	            0.018517	            0.014051	            0.015248	            0.018474	            0.018836	            0.017277	            0.019138	            0.028901	            0.036130	            0.028949	            0.020792	            0.025171	            0.032241	            0.038607	            0.047433	            0.036329	            0.028736	            0.038465	            0.036946	            0.038459	            0.033798	            0.044388	            0.048231	            0.050924	            0.055595	            0.050875	            0.074003	            0.090575	            0.065674	            0.032689	            0.022835	            0.025567	            0.032594	            0.029581	            0.024926	            0.020610	            0.019949	            0.022011	            0.020970	            0.020746	            0.016962	            0.017603	            0.017985	            0.017430	            0.016354	            0.013919	            0.012979	            0.013022	            0.013772	            0.015226	            0.015749	            0.015836	            0.014839	            0.014663	            0.015268	            0.015595	            0.014617	            0.013520	            0.013476	            0.013900	            0.014037	            0.014067	            0.014021	            0.014216	            0.014357	            0.014533	            0.014927	            0.015555	            0.016293	            0.016713	            0.017253	            0.018064	            0.019622	            0.020470	            0.020497	            0.020961	            0.020123	            0.019331	            0.018703	            0.018298	            0.017515	            0.017438	            0.017573	            0.034778	            0.069519	            0.075117	            0.078907	            0.831466	            0.830443	            0.832415	            0.838846	            0.825819	            0.828958	            0.029455	            0.023691	            0.022853	            0.020852	            0.020852	            0.018522	            0.018258	            0.017560	            0.016767	            0.016257	            0.016860	            0.016944	            0.017526	            0.015446	            0.015747	            0.016137	            0.015590	            0.015700	            0.015700	            0.015700	            0.015700	            0.015700	            0.015700	            0.015700	            0.015700	            0.015700	            0.015700	            0.015700	            0.015700	
               FRTB5	            0.009817	            0.018009	            0.024616	            0.025441	            0.019301	            0.016965	            0.023088	            0.028606	            0.022695	            0.017183	            0.020431	            0.027976	            0.029681	            0.023939	            0.019022	            0.037475	            0.051876	            0.044843	            0.031587	            0.034788	            0.047860	            0.050899	            0.058175	            0.052281	            0.060912	            0.060740	            0.053495	            0.047242	            0.053387	            0.074995	            0.069943	            0.067311	            0.054216	            0.035008	            0.033144	            0.034464	            0.030172	            0.022527	            0.022672	            0.026169	            0.025174	            0.020498	            0.019366	            0.019805	            0.018938	            0.022963	            0.027157	            0.028846	            0.021942	            0.017129	            0.016213	            0.016933	            0.017895	            0.014887	            0.012420	            0.011942	            0.012364	            0.011789	            0.011449	            0.010919	            0.010539	            0.010434	            0.010523	            0.010421	            0.010288	            0.010221	            0.010283	            0.010440	            0.010491	            0.010376	            0.010384	            0.010442	            0.010454	            0.010472	            0.010520	            0.010523	            0.010544	            0.010526	            0.010492	            0.010476	            0.010484	            0.010527	            0.010558	            0.010631	            0.010719	            0.010923	            0.011094	            0.011198	            0.011275	            0.011480	            0.011705	            0.011919	            0.013309	            0.014289	            0.014964	            0.016039	            0.016947	            0.521829	            0.531654	            0.594057	            0.601903	            0.038724	            0.049582	            0.047488	            0.045523	            0.039422	            0.034469	            0.016969	            0.017426	            0.014646	            0.014783	            0.015323	            0.015849	            0.017426	            0.015434	            0.015667	            0.015775	            0.015775	            0.015775	            0.015775	            0.015775	            0.015775	            0.015775	            0.015775	            0.015775	            0.015775	            0.015775	            0.015775	            0.015775	            0.015775	
               FRTB7	            0.010585	            0.045891	            0.074538	            0.087395	            0.068503	            0.054856	            0.082842	            0.110565	            0.093424	            0.072324	            0.083215	            0.129186	            0.158957	            0.151799	            0.113769	            0.214195	            0.274739	            0.218250	            0.153654	            0.141746	            0.159755	            0.144027	            0.160586	            0.146656	            0.195584	            0.190997	            0.133741	            0.115734	            0.134021	            0.145795	            0.089157	            0.114306	            0.131306	            0.088188	            0.051745	            0.057708	            0.060241	            0.043424	            0.036011	            0.037956	            0.029739	            0.022999	            0.023480	            0.027687	            0.029072	            0.029394	            0.035014	            0.045696	            0.044234	            0.039525	            0.040683	            0.043050	            0.045941	            0.048403	            0.043983	            0.038309	            0.038129	            0.038708	            0.035748	            0.034140	            0.033749	            0.031486	            0.027662	            0.028454	            0.028543	            0.027647	            0.026510	            0.028572	            0.029560	            0.029466	            0.029048	            0.029352	            0.028477	            0.026748	            0.025443	            0.024434	            0.023365	            0.022629	            0.022398	            0.022429	            0.021983	            0.021640	            0.021655	            0.021827	            0.022500	            0.022002	            0.022355	            0.023093	            0.023589	            0.023569	            0.024119	            0.025167	            0.026145	            0.026887	            0.027871	            0.029996	            0.031385	            0.036598	            0.045261	            0.885186	            0.904012	            0.199482	            0.102574	            0.086137	            0.085594	            0.078743	            0.075260	            0.076213	            0.076213	            0.076213	            0.076213	            0.076213	            0.076213	            0.076213	            0.076213	            0.076213	            0.076213	            0.076213	            0.076213	            0.076213	            0.076213	            0.076213	            0.076213	            0.076213	            0.076213	            0.076213	            0.076213	            0.076213	            0.076213	            0.076213	
               FLTB3	            0.117635	            0.187818	            0.236805	            0.306591	            0.405677	            0.406135	            0.306859	            0.260792	            0.214408	            0.155373	            0.110003	            0.090238	            0.088957	            0.076055	            0.049387	            0.047686	            0.050994	            0.045447	            0.037958	            0.033853	            0.037071	            0.040774	            0.043668	            0.039105	            0.047334	            0.049933	            0.041580	            0.041029	            0.048661	            0.047991	            0.037134	            0.044648	            0.054684	            0.048736	            0.039604	            0.047284	            0.054349	            0.047517	            0.042649	            0.047480	            0.045809	            0.040236	            0.042285	            0.052382	            0.056374	            0.063056	            0.081278	            0.110353	            0.120971	            0.092498	            0.084394	            0.066121	            0.043757	            0.030840	            0.023589	            0.019367	            0.017693	            0.015807	            0.013947	            0.013615	            0.013739	            0.013074	            0.012480	            0.012575	            0.012552	            0.012182	            0.011978	            0.012008	            0.011942	            0.011826	            0.011904	            0.011934	            0.011926	            0.011827	            0.011759	            0.011777	            0.011783	            0.011799	            0.011870	            0.011946	            0.012073	            0.012188	            0.012256	            0.012521	            0.012883	            0.013209	            0.013568	            0.013901	            0.014067	            0.014084	            0.014462	            0.015176	            0.015711	            0.016095	            0.016911	            0.017929	            0.018414	            0.019029	            0.021780	            0.946566	            0.953518	            0.115041	            0.079063	            0.075799	            0.053342	            0.048054	            0.051694	            0.052194	            0.061184	            0.061184	            0.061184	            0.061184	            0.061184	            0.061184	            0.061184	            0.061184	            0.061184	            0.061184	            0.061184	            0.061184	            0.061184	            0.061184	            0.061184	            0.061184	            0.061184	            0.061184	            0.061184	            0.061184	            0.061184	            0.061184	
               FLTB5	            0.012125	            0.071932	            0.115250	            0.109396	            0.063794	            0.047559	            0.090174	            0.117200	            0.089098	            0.075251	            0.080207	            0.114329	            0.111431	            0.078596	            0.060240	            0.117229	            0.139551	            0.101705	            0.061967	            0.059863	            0.077972	            0.097618	            0.111435	            0.081917	            0.094848	            0.099019	            0.069140	            0.059510	            0.089686	            0.103045	            0.085595	            0.078943	            0.063843	            0.053995	            0.048955	            0.041277	            0.033902	            0.027793	            0.034515	            0.039085	            0.034938	            0.037191	            0.040910	            0.042445	            0.066098	            0.102364	            0.169131	            0.299991	            0.313852	            0.236515	            0.146686	            0.095289	            0.073306	            0.057689	            0.040618	            0.034800	            0.030951	            0.025682	            0.022799	            0.020220	            0.018336	            0.017494	            0.017518	            0.017322	            0.017578	            0.017346	            0.017624	            0.017888	            0.018069	            0.017738	            0.017311	            0.017062	            0.016771	            0.016414	            0.015942	            0.015457	            0.015237	            0.014978	            0.014682	            0.014464	            0.014240	            0.014057	            0.014016	            0.014156	            0.014034	            0.013907	            0.013669	            0.013448	            0.013235	            0.013255	            0.013299	            0.013316	            0.013390	            0.013524	            0.013659	            0.013831	            0.014475	            0.648301	            0.644880	            0.740613	            0.738000	            0.061187	            0.031848	            0.027102	            0.024616	            0.022401	            0.024081	            0.023992	            0.022247	            0.024864	            0.022524	            0.023234	            0.023229	            0.024271	            0.025489	            0.025489	            0.025489	            0.025489	            0.025489	            0.025489	            0.025489	            0.025489	            0.025489	            0.025489	            0.025489	            0.025489	            0.025489	            0.025489	            0.025489	            0.025489	
               FLTB7	            0.011883	            0.033147	            0.050940	            0.051324	            0.034120	            0.025397	            0.037649	            0.049227	            0.040426	            0.027729	            0.028943	            0.045710	            0.053352	            0.049988	            0.044124	            0.093831	            0.157336	            0.140156	            0.094001	            0.105407	            0.122588	            0.140652	            0.181473	            0.155753	            0.175273	            0.178420	            0.144252	            0.135830	            0.189573	            0.231830	            0.213520	            0.201087	            0.151635	            0.107377	            0.068060	            0.063228	            0.058091	            0.039685	            0.038721	            0.043452	            0.032144	            0.026572	            0.027941	            0.030839	            0.034899	            0.053470	            0.094890	            0.106372	            0.055159	            0.028852	            0.019819	            0.016318	            0.014536	            0.012035	            0.011151	            0.011204	            0.011516	            0.011037	            0.010547	            0.010280	            0.010310	            0.010319	            0.010230	            0.010294	            0.010351	            0.010339	            0.010311	            0.010344	            0.010426	            0.010430	            0.010511	            0.010651	            0.010592	            0.010553	            0.010558	            0.010595	            0.010585	            0.010602	            0.010617	            0.010648	            0.010656	            0.010635	            0.010574	            0.010658	            0.010729	            0.010841	            0.010941	            0.011043	            0.011121	            0.011260	            0.011429	            0.011606	            0.011722	            0.011790	            0.011874	            0.011977	            0.012252	            0.493121	            0.513665	            0.772221	            0.791429	            0.072265	            0.080895	            0.043671	            0.039948	            0.036739	            0.038554	            0.032791	            0.036514	            0.034134	            0.033469	            0.033469	            0.033469	            0.033469	            0.033469	            0.033469	            0.033469	            0.033469	            0.033469	            0.033469	            0.033469	            0.033469	            0.033469	            0.033469	            0.033469	            0.033469	            0.033469	            0.033469	            0.033469	            0.033469	
               FLTB9	            0.010640	            0.023303	            0.034157	            0.034844	            0.025455	            0.021041	            0.023393	            0.025189	            0.020832	            0.017222	            0.018353	            0.023208	            0.023300	            0.020575	            0.017943	            0.023870	            0.030840	            0.025749	            0.021614	            0.025716	            0.028033	            0.028247	            0.031285	            0.025873	            0.029174	            0.033968	            0.032401	            0.030189	            0.035436	            0.042855	            0.042254	            0.051837	            0.053803	            0.044450	            0.034036	            0.035352	            0.035414	            0.030748	            0.033492	            0.036239	            0.032226	            0.028131	            0.027019	            0.023475	            0.028357	            0.034246	            0.035295	            0.028234	            0.022501	            0.020974	            0.019539	            0.014935	            0.014345	            0.015166	            0.014604	            0.012534	            0.012122	            0.012281	            0.012473	            0.012624	            0.012641	            0.012430	            0.012404	            0.012327	            0.012545	            0.012691	            0.012315	            0.012434	            0.012854	            0.013242	            0.013655	            0.014367	            0.015120	            0.015750	            0.016393	            0.016984	            0.017485	            0.018140	            0.018194	            0.018528	            0.018607	            0.018587	            0.018616	            0.018510	            0.018120	            0.017895	            0.017928	            0.017922	            0.017494	            0.016925	            0.016685	            0.022127	            0.035503	            0.753407	            0.786959	            0.822852	            0.844669	            0.861971	            0.874641	            0.885269	            0.893286	            0.018090	            0.018067	            0.020429	            0.026458	            0.028843	            0.014591	            0.014591	            0.014366	            0.014748	            0.015184	            0.015636	            0.015864	            0.014408	            0.014566	            0.014121	            0.013831	            0.013901	            0.013277	            0.013253	            0.013314	            0.013672	            0.013427	            0.013485	            0.013652	            0.013652	            0.013652	            0.013652	            0.013652	            0.013652	
             RDRRTB5	            0.010215	            0.020011	            0.025217	            0.024102	            0.016957	            0.014298	            0.020168	            0.023286	            0.019185	            0.014446	            0.015176	            0.018899	            0.020406	            0.018916	            0.017570	            0.026608	            0.035846	            0.030833	            0.022576	            0.022557	            0.025467	            0.031057	            0.041195	            0.032352	            0.031998	            0.036528	            0.040284	            0.039462	            0.034987	            0.045346	            0.044634	            0.051193	            0.063679	            0.078586	            0.101420	            0.111060	            0.082085	            0.055546	            0.053242	            0.046176	            0.032262	            0.028531	            0.025630	            0.021163	            0.019351	            0.022230	            0.029083	            0.028352	            0.020213	            0.020659	            0.021934	            0.022820	            0.028462	            0.027124	            0.021765	            0.019868	            0.021468	            0.020480	            0.020022	            0.018180	            0.017644	            0.018019	            0.017763	            0.016029	            0.015870	            0.016776	            0.016991	            0.016605	            0.016224	            0.016725	            0.016511	            0.016352	            0.016284	            0.016113	            0.015780	            0.015630	            0.015793	            0.015892	            0.015755	            0.015297	            0.015339	            0.015338	            0.015419	            0.015387	            0.014987	            0.014928	            0.014945	            0.014960	            0.014706	            0.014358	            0.016307	            0.654929	            0.654637	            0.653513	            0.649012	            0.775438	            0.766102	            0.804587	            0.792147	            0.780132	            0.767216	            0.019921	            0.023528	            0.024794	            0.026341	            0.030776	            0.035272	            0.027855	            0.026359	            0.024919	            0.023524	            0.022710	            0.022333	            0.022567	            0.022100	            0.022455	            0.022596	            0.022002	            0.022043	            0.022043	            0.022043	            0.022043	            0.022043	            0.022043	            0.022043	            0.022043	            0.022043	            0.022043	            0.022043	            0.022043	
             RDRRTB7	            0.009967	            0.027497	            0.035662	            0.036996	            0.027227	            0.021052	            0.021170	            0.024564	            0.020114	            0.017574	            0.019304	            0.020428	            0.021116	            0.018492	            0.013890	            0.016002	            0.016582	            0.015759	            0.016225	            0.016138	            0.016473	            0.016610	            0.018974	            0.020079	            0.020719	            0.021894	            0.017970	            0.014944	            0.015278	            0.016375	            0.016515	            0.021044	            0.021042	            0.016558	            0.014910	            0.015059	            0.014385	            0.013562	            0.013602	            0.013181	            0.012941	            0.012775	            0.013535	            0.013616	            0.014205	            0.018091	            0.021815	            0.025806	            0.022504	            0.020915	            0.023668	            0.020921	            0.017478	            0.016230	            0.013901	            0.012108	            0.011883	            0.011453	            0.010873	            0.010520	            0.010181	            0.010089	            0.010089	            0.010032	            0.010022	            0.010053	            0.010140	            0.010196	            0.010189	            0.010252	            0.010329	            0.010336	            0.010324	            0.010338	            0.010333	            0.010384	            0.010440	            0.010466	            0.010539	            0.010640	            0.010722	            0.010774	            0.010823	            0.010894	            0.010976	            0.011247	            0.011441	            0.011592	            0.011696	            0.011875	            0.012124	            0.012355	            0.012574	            0.012653	            0.012800	            0.012920	            0.015174	            0.885970	            0.887036	            0.885103	            0.878270	            0.060664	            0.065777	            0.039420	            0.035881	            0.032928	            0.028177	            0.026315	            0.027324	            0.028713	            0.025068	            0.025155	            0.025155	            0.025155	            0.025155	            0.025155	            0.025155	            0.025155	            0.025155	            0.025155	            0.025155	            0.025155	            0.025155	            0.025155	            0.025155	            0.025155	            0.025155	            0.025155	            0.025155	            0.025155	
             RDRSTB5	            0.010853	            0.069241	            0.168318	            0.224885	            0.148706	            0.089689	            0.097132	            0.103310	            0.069605	            0.040450	            0.031995	            0.040893	            0.040935	            0.034937	            0.028432	            0.041799	            0.050594	            0.038730	            0.027552	            0.029951	            0.034986	            0.038343	            0.042245	            0.033919	            0.032558	            0.035388	            0.033332	            0.037503	            0.051380	            0.069263	            0.082013	            0.091039	            0.085494	            0.060399	            0.048953	            0.068504	            0.075302	            0.050363	            0.038484	            0.030200	            0.027335	            0.027222	            0.029567	            0.029274	            0.032053	            0.037650	            0.043438	            0.047474	            0.041766	            0.041226	            0.035471	            0.023385	            0.019206	            0.016141	            0.013321	            0.012069	            0.011717	            0.011315	            0.011004	            0.010872	            0.010863	            0.010907	            0.010625	            0.010435	            0.010371	            0.010495	            0.010454	            0.010526	            0.010737	            0.011034	            0.011114	            0.011117	            0.011186	            0.011200	            0.011201	            0.011196	            0.011170	            0.010995	            0.010824	            0.010780	            0.010752	            0.010681	            0.010612	            0.010635	            0.010680	            0.010702	            0.010777	            0.010911	            0.011011	            0.010945	            0.010795	            0.010594	            0.010437	            0.010879	            0.012283	            0.524578	            0.558634	            0.591231	            0.623424	            0.652279	            0.678502	            0.038140	            0.034418	            0.029691	            0.026740	            0.024318	            0.023254	            0.022337	            0.022957	            0.024304	            0.025513	            0.025513	            0.025513	            0.025513	            0.025513	            0.025513	            0.025513	            0.025513	            0.025513	            0.025513	            0.025513	            0.025513	            0.025513	            0.025513	            0.025513	            0.025513	            0.025513	            0.025513	            0.025513	            0.025513	
             RDRSTB7	            0.012708	            0.031548	            0.033252	            0.027560	            0.017376	            0.013616	            0.016746	            0.018700	            0.015603	            0.012344	            0.013381	            0.015824	            0.016046	            0.013711	            0.012850	            0.017903	            0.022571	            0.020710	            0.015009	            0.015133	            0.019562	            0.025199	            0.027834	            0.022535	            0.022323	            0.022849	            0.022584	            0.019668	            0.016441	            0.024644	            0.025711	            0.023795	            0.021754	            0.019539	            0.021979	            0.023718	            0.020974	            0.019953	            0.027750	            0.032496	            0.042128	            0.051955	            0.050782	            0.055078	            0.048317	            0.044024	            0.035535	            0.028814	            0.023927	            0.021702	            0.020086	            0.018163	            0.017808	            0.021152	            0.021976	            0.020241	            0.018571	            0.017877	            0.017917	            0.018111	            0.017693	            0.017273	            0.017136	            0.016876	            0.016626	            0.015462	            0.015003	            0.015399	            0.015339	            0.014733	            0.014667	            0.014578	            0.014331	            0.013934	            0.013594	            0.013304	            0.013078	            0.012689	            0.012368	            0.012123	            0.011976	            0.011778	            0.011513	            0.011585	            0.011665	            0.011484	            0.011459	            0.011612	            0.011891	            0.012329	            0.012846	            0.013255	            0.013604	            0.014031	            0.014608	            0.531001	            0.534981	            0.532997	            0.520573	            0.669115	            0.655378	            0.139544	            0.113116	            0.107500	            0.111660	            0.109315	            0.132715	            0.130448	            0.130448	            0.200887	            0.187523	            0.167020	            0.163691	            0.166775	            0.019967	            0.021192	            0.021790	            0.021790	            0.021790	            0.021790	            0.021790	            0.021790	            0.021790	            0.021790	            0.021790	            0.021790	            0.021790	            0.021790	            0.021790	            0.021790	
                 RDI	            0.009965	            0.019067	            0.028712	            0.032501	            0.025375	            0.020710	            0.031412	            0.045107	            0.038112	            0.026909	            0.030613	            0.046677	            0.054750	            0.044796	            0.032358	            0.060737	            0.092616	            0.081645	            0.062633	            0.061375	            0.066212	            0.068101	            0.087347	            0.073983	            0.075404	            0.072310	            0.056627	            0.048383	            0.051288	            0.058460	            0.044094	            0.050014	            0.048238	            0.029778	            0.021375	            0.019797	            0.018306	            0.016291	            0.015605	            0.015260	            0.016372	            0.015969	            0.015393	            0.015012	            0.014342	            0.016838	            0.018141	            0.018547	            0.016433	            0.018232	            0.021909	            0.024882	            0.027424	            0.028625	            0.026634	            0.023941	            0.022039	            0.020937	            0.020142	            0.018809	            0.017827	            0.017299	            0.017617	            0.017499	            0.016837	            0.016164	            0.015640	            0.014970	            0.014504	            0.014001	            0.013660	            0.013465	            0.013208	            0.012810	            0.012449	            0.012342	            0.012077	            0.011939	            0.011787	            0.011620	            0.011574	            0.011581	            0.011532	            0.011721	            0.011939	            0.011969	            0.011838	            0.011680	            0.011633	            0.011768	            0.011899	            0.011992	            0.012039	            0.012301	            0.013075	            0.699045	            0.705606	            0.709797	            0.713041	            0.828190	            0.825474	            0.075136	            0.107504	            0.084398	            0.082448	            0.081301	            0.079987	            0.078683	            0.076757	            0.068366	            0.089109	            0.087846	            0.092941	            0.096180	            0.095709	            0.108462	            0.114961	            0.114961	            0.114961	            0.114961	            0.114961	            0.114961	            0.114961	            0.114961	            0.114961	            0.114961	            0.114961	            0.114961	            0.114961	            0.114961	
                 RRI	            0.011014	            0.041518	            0.059856	            0.061678	            0.045865	            0.032277	            0.033155	            0.038870	            0.031565	            0.025176	            0.027570	            0.036443	            0.038877	            0.031071	            0.019446	            0.027186	            0.031727	            0.025538	            0.022088	            0.023121	            0.026275	            0.025221	            0.026842	            0.027123	            0.032280	            0.034961	            0.029018	            0.024777	            0.026880	            0.029920	            0.027358	            0.035433	            0.038932	            0.032257	            0.026091	            0.021571	            0.018839	            0.018103	            0.020956	            0.024503	            0.022393	            0.017207	            0.017780	            0.021032	            0.024831	            0.044516	            0.071379	            0.084748	            0.062260	            0.041600	            0.039874	            0.045577	            0.055105	            0.044997	            0.035065	            0.026341	            0.020115	            0.016654	            0.014984	            0.014314	            0.014325	            0.014445	            0.015318	            0.016044	            0.016453	            0.016655	            0.017315	            0.018217	            0.018838	            0.018517	            0.018126	            0.017876	            0.017165	            0.015882	            0.014484	            0.013424	            0.012928	            0.012461	            0.012103	            0.011697	            0.011432	            0.011107	            0.010848	            0.010740	            0.010804	            0.010737	            0.010749	            0.010848	            0.010998	            0.011165	            0.011358	            0.011484	            0.011860	            0.012199	            0.012531	            0.012913	            0.014232	            0.015765	            0.019478	            0.772446	            0.776595	            0.127216	            0.141170	            0.142023	            0.153089	            0.185996	            0.173016	            0.161373	            0.125502	            0.034958	            0.034857	            0.034857	            0.034857	            0.034857	            0.034857	            0.034857	            0.034857	            0.034857	            0.034857	            0.034857	            0.034857	            0.034857	            0.034857	            0.034857	            0.034857	            0.034857	            0.034857	            0.034857	            0.034857	            0.034857	
               RDMCR	            0.010145	            0.017369	            0.021327	            0.019217	            0.013892	            0.013271	            0.018441	            0.021271	            0.017696	            0.013348	            0.013307	            0.014844	            0.015243	            0.014528	            0.015489	            0.022846	            0.027803	            0.022106	            0.015819	            0.016949	            0.021729	            0.026792	            0.031140	            0.023645	            0.021459	            0.023394	            0.022296	            0.023174	            0.021694	            0.028679	            0.028827	            0.025357	            0.024279	            0.023063	            0.029394	            0.039893	            0.039756	            0.031444	            0.037070	            0.050876	            0.090861	            0.154005	            0.160196	            0.129324	            0.087906	            0.060169	            0.039762	            0.031444	            0.022265	            0.019184	            0.016756	            0.015695	            0.014161	            0.013702	            0.013610	            0.013499	            0.014072	            0.014282	            0.014658	            0.014492	            0.014108	            0.013805	            0.013847	            0.013904	            0.013568	            0.013226	            0.013092	            0.013154	            0.013751	            0.013768	            0.013551	            0.013438	            0.013462	            0.013726	            0.013804	            0.013887	            0.013859	            0.013775	            0.013709	            0.013522	            0.013423	            0.013627	            0.013698	            0.013813	            0.013923	            0.013924	            0.013604	            0.013406	            0.014578	            0.018319	            0.018678	            0.628351	            0.641468	            0.711557	            0.728194	            0.780605	            0.788324	            0.822586	            0.824995	            0.825998	            0.825529	            0.016518	            0.015420	            0.015420	            0.016681	            0.020069	            0.021028	            0.015819	            0.015360	            0.015515	            0.014057	            0.013775	            0.013775	            0.014881	            0.014881	            0.015549	            0.013706	            0.013707	            0.013693	            0.013719	            0.013310	            0.013365	            0.013573	            0.013617	            0.013744	            0.013818	            0.013818	            0.013818	            0.013818	            0.013818	
                 WAV	            0.012516	            0.061767	            0.080037	            0.077275	            0.041903	            0.031248	            0.045917	            0.050853	            0.036362	            0.026172	            0.030463	            0.037128	            0.035246	            0.024527	            0.017704	            0.023917	            0.027990	            0.024448	            0.017875	            0.018560	            0.021796	            0.022995	            0.026689	            0.024302	            0.023495	            0.024776	            0.022181	            0.019422	            0.023726	            0.025090	            0.022451	            0.025944	            0.023209	            0.019930	            0.019103	            0.018175	            0.016102	            0.013733	            0.013965	            0.014238	            0.014946	            0.016074	            0.016072	            0.015631	            0.017712	            0.021277	            0.021507	            0.022112	            0.017382	            0.015502	            0.015679	            0.014054	            0.012352	            0.012326	            0.012422	            0.012102	            0.011380	            0.010875	            0.010968	            0.011116	            0.010649	            0.010486	            0.010612	            0.010763	            0.010758	            0.010664	            0.010636	            0.010776	            0.010873	            0.010936	            0.011040	            0.011106	            0.011205	            0.011346	            0.011406	            0.011413	            0.011565	            0.011838	            0.012067	            0.012204	            0.012382	            0.012497	            0.012712	            0.013063	            0.013293	            0.013018	            0.012701	            0.012588	            0.012785	            0.013076	            0.018924	            0.704185	            0.737903	            0.758457	            0.786328	            0.805764	            0.825104	            0.840110	            0.853465	            0.865315	            0.874456	            0.020339	            0.018960	            0.017765	            0.017370	            0.018218	            0.018478	            0.018996	            0.015868	            0.015749	            0.015749	            0.015807	            0.015682	            0.015223	            0.014943	            0.015301	            0.015301	            0.015822	            0.016568	            0.013692	            0.013692	            0.013739	            0.013710	            0.013733	            0.013801	            0.013936	            0.014046	            0.014046	            0.014046	            0.014046	
